date,div/unit,event,speaker,start,end,webinar-license,zoom-meeting,host,website,zoom-link
"Monday, April 19, 2021",AE,"Banana Slug Share:  3 Keys to Unstoppable Health: Your path to more energy, better digestion & feeling great!",Rebecca Hazelton,10:00 AM,11:00 AM,,yes,AE (dh),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJUldu-tqT8rH9xPdsfH8Q8CVZdDQdLz_2Lr
"Monday, April 19, 2021",AE,Banana Slug Share: Financial Planning,Marnie Baird,11:30 AM,12:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJ0ocuCspjgvGNGUwH6ZMUF9BQ2Ur6W6PDnw
"Monday, April 19, 2021",AE,"Banana Slug Share:
Breaking the Glass Ballot",Cynthia Chase,1:00 PM,2:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJUqf-Gqrj4sH9SJSYJYn_RxtUOuG_DJWfU3
"Monday, April 19, 2021",UR,UC Santa Cruz Banana Slug Trivia Night,,7:00 PM,8:00 PM,no,yes,AE,,
"Tuesday, April 20, 2021",AE,Banana Slug Share: Hollywood's Best Kept Communication Secrets,Larry Wilson,12:00 PM,1:30 PM,,yes,AE (dh),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJAvf-6rqz4uEtNxUxNNLD3CSAi6y5o7tHwE
"Tuesday, April 20, 2021",AE,Banana Slug Share: Creating Loaded Greeting Cards,Valerie Largin,3:00 PM,4:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJEof-CurTkvEteZ8MatDcqEmE82ZAb5hXHp
"Wednesday, April 21, 2021",AE,Banana Slug Share: Historical Glimpse into the Arts at UCSC from 1974-76: Student Film Documentary and Video Synth Experiment,Denise Gallant and Rob Schafer,11:00 AM,12:00 PM,,yes,AE (dh),Info page for AW website,https://ucsc.zoom.us/meeting/register/tJAsduivqzwsEtJFjgIYyQo44nZV5iE8riGd
"Wednesday, April 21, 2021",AE,Banana Slug Share: Getting your feet wet in Consulting,Corinne Kappeler,12:00 PM,1:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJIldu6srTstGtAgadTCHISS_lV7joyqV0PF
"Wednesday, April 21, 2021",AE,Banana Slug Share: Origami workshop,Jeremy Shafer,3:00 PM,3:30 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJ0sc-2oqj8vGt2Wy6MU9lRBfIHsn3alBl0b
"Wednesday, April 21, 2021",AE,Banana Slug Share: TBD (photography +),Gordon Wiltsie,7:00 PM,8:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJArdOyvpjkrHNQOXPFNGiiOhBZo0Av2Ppb2
"Thursday, April 22, 2021",AE,"Banana Slug Share: Self-Care, Who Cares: & The Nurturing of Resilience",Diane Bridgeman,12:00 PM,1:00 PM,,yes,AE (ue),Info Page for AW website,https://ucsc.zoom.us/meeting/register/tJApfuqrrT8tGty0odNkVkI_aGOuLlxdSqfA
